name,ages,team,play_year,country,打,投,出賽數,打席,打數,打點,得分,安打,一安,二安,三安,全壘打,壘打數,被三振,盜壘,上壘率,長打率,打擊率,雙殺打,犧短,犧飛,四壞,故四,死球,盜壘刺,滾地出局,高飛出局,滾飛出局比,盜壘率,整體攻擊指數
康雷0,29,三商,1993,多明尼加,右打,右投,87,362,329,37,46,103,63,26,4,10,167,43,33,0.361,0.507,0.313,5,2,4,26,0,1,20,92,97,0.948,0.62,0.8690000000000001
康雷0,30,三商,1994,多明尼加,右打,右投,87,334,311,46,56,112,73,23,6,10,177,35,14,0.397,0.569,0.36,6,0,0,19,4,0,6,71,93,0.763,0.7,0.966
康雷0,31,三商,1995,多明尼加,右打,右投,88,310,274,47,55,97,66,19,4,8,148,29,3,0.39899999999999997,0.54,0.354,4,2,4,22,7,1,6,74,80,0.925,0.33,0.9390000000000001
康雷0,32,三商,1996,多明尼加,右打,右投,69,253,237,39,30,76,50,20,0,6,114,24,10,0.34299999999999997,0.48100000000000004,0.321,8,1,2,9,4,0,2,74,66,1.121,0.83,0.8240000000000001
廖健富58,19,Lamigo,2017,中華民國,左打,右投,6,11,11,0,2,5,5,0,0,0,5,2,0,0.455,0.455,0.455,0,0,0,0,0,0,0,3,1,3.0,0.0,0.91
廖健富58,20,Lamigo,2018,中華民國,左打,右投,88,345,292,69,60,113,80,21,2,10,168,40,0,0.455,0.575,0.387,5,5,4,37,4,3,3,87,59,1.475,0.0,1.03
廖健富58,21,Lamigo,2019,中華民國,左打,右投,95,336,282,49,42,82,64,12,0,6,112,34,1,0.381,0.397,0.29100000000000004,8,1,6,39,2,6,1,95,78,1.218,0.5,0.778
廖健富58,22,樂天桃猿,2020,中華民國,左打,右投,98,350,306,50,52,103,61,31,1,10,166,32,1,0.406,0.542,0.337,9,3,3,28,0,10,1,87,90,0.9670000000000001,0.5,0.948
廖健富58,23,樂天桃猿,2021,中華民國,左打,右投,29,87,70,11,11,23,18,5,0,0,28,16,0,0.419,0.4,0.32899999999999996,0,0,3,12,1,1,0,12,22,0.545,0.0,0.8190000000000001
廖敏雄0,25,時報,1993,中華民國,右打,右投,90,387,344,60,48,100,61,19,2,18,177,80,5,0.354,0.515,0.29100000000000004,5,2,2,33,4,2,2,94,74,1.27,0.71,0.8690000000000001
廖敏雄0,26,時報,1994,中華民國,右打,右投,90,387,350,70,65,104,62,16,2,24,196,84,15,0.354,0.56,0.297,5,0,4,29,0,4,4,82,84,0.976,0.79,0.914
廖敏雄0,27,時報,1995,中華民國,右打,右投,98,403,346,66,58,100,59,18,1,22,186,65,4,0.371,0.5379999999999999,0.289,13,5,3,45,2,2,1,115,74,1.554,0.8,0.909
廖敏雄0,28,時報,1996,中華民國,右打,右投,91,314,275,43,47,62,35,13,2,12,115,74,8,0.307,0.418,0.225,7,5,1,30,0,3,4,84,61,1.3769999999999998,0.67,0.725
廖敏雄0,29,時報,1997,中華民國,右打,右投,47,196,172,40,36,55,36,11,0,8,90,29,4,0.39299999999999996,0.523,0.32,3,0,2,21,0,1,2,42,47,0.894,0.67,0.9159999999999999
廖述仁0,23,味全龍,1995,中華民國,左打,左投,32,20,19,2,4,4,3,1,0,0,5,8,0,0.25,0.263,0.21100000000000002,0,0,0,1,0,0,1,6,1,6.0,0.0,0.513
