name,age,team,play_year,country,打,投,守備位置,出賽數,守備機會,刺殺,助殺,失誤,雙殺,三殺,守備率
余進德5,28,Lamigo,2006,中華民國,右打,右投,外野手,2,2,2,0,0,0,0,1.0
余進德5,28,興農,2006,中華民國,右打,右投,外野手,4,0,0,0,0,0,0,0.0
余進德5,29,Lamigo,2007,中華民國,右打,右投,二壘手,49,228,104,115,9,30,0,0.961
余進德5,29,Lamigo,2007,中華民國,右打,右投,外野手,21,32,30,1,1,0,0,0.9690000000000001
余進德5,30,Lamigo,2008,中華民國,右打,右投,二壘手,37,159,71,82,6,14,0,0.9620000000000001
余進德5,30,Lamigo,2008,中華民國,右打,右投,外野手,26,48,46,0,2,0,0,0.958
余進德5,30,Lamigo,2008,中華民國,右打,右投,游擊手,13,60,25,29,6,4,0,0.9
余進德5,31,Lamigo,2009,中華民國,右打,右投,二壘手,36,132,61,64,7,15,0,0.9470000000000001
余進德5,31,Lamigo,2009,中華民國,右打,右投,外野手,16,24,22,2,0,2,0,1.0
余進德5,32,Lamigo,2010,中華民國,右打,右投,二壘手,76,344,132,200,12,35,0,0.965
余進德5,32,Lamigo,2010,中華民國,右打,右投,外野手,2,1,1,0,0,0,0,1.0
佩卓2,29,中信兄弟,2015,美國,左右開弓,右投,游擊手,37,153,50,88,15,24,0,0.902
來旺0,24,統一7-ELEVEn獅,1993,多明尼加,右打,右投,外野手,27,41,39,1,1,0,0,0.976
來旺0,24,統一7-ELEVEn獅,1993,多明尼加,右打,右投,二壘手,11,46,24,20,2,8,0,0.9570000000000001
來旺0,24,統一7-ELEVEn獅,1993,多明尼加,右打,右投,三壘手,3,6,2,4,0,0,0,1.0
來旺0,24,統一7-ELEVEn獅,1993,多明尼加,右打,右投,游擊手,3,5,0,4,1,0,0,0.8
侯明坤0,29,三商,1990,中華民國,右打,右投,三壘手,41,82,13,60,9,9,0,0.89
侯明坤0,29,三商,1990,中華民國,右打,右投,二壘手,6,11,5,6,0,1,0,1.0
侯明坤0,29,三商,1990,中華民國,右打,右投,外野手,6,1,1,0,0,0,0,1.0
侯明坤0,29,三商,1990,中華民國,右打,右投,游擊手,3,6,2,4,0,0,0,1.0
侯明坤0,29,三商,1990,中華民國,右打,右投,一壘手,2,26,22,3,1,3,0,0.9620000000000001
侯明坤0,30,三商,1991,中華民國,右打,右投,三壘手,80,308,66,216,26,14,0,0.9159999999999999
侯明坤0,30,三商,1991,中華民國,右打,右投,游擊手,1,1,0,1,0,0,0,1.0
侯明坤0,31,三商,1992,中華民國,右打,右投,三壘手,45,128,32,83,13,7,0,0.898
侯明坤0,31,三商,1992,中華民國,右打,右投,游擊手,19,102,24,68,10,10,0,0.902
侯明坤0,32,俊國,1993,中華民國,右打,右投,一壘手,15,94,88,5,1,5,0,0.9890000000000001
侯明坤0,32,俊國,1993,中華民國,右打,右投,三壘手,14,31,9,18,4,3,0,0.871
侯明坤0,32,俊國,1993,中華民國,右打,右投,游擊手,7,37,11,21,5,3,0,0.865
侯明坤0,32,俊國,1993,中華民國,右打,右投,二壘手,1,2,1,1,0,0,0,1.0
侯明坤0,33,俊國,1994,中華民國,右打,右投,三壘手,19,48,6,37,5,2,0,0.8959999999999999
侯明坤0,33,俊國,1994,中華民國,右打,右投,外野手,4,4,4,0,0,0,0,1.0
侯明坤0,33,俊國,1994,中華民國,右打,右投,游擊手,3,1,0,1,0,0,0,1.0
侯明坤0,33,俊國,1994,中華民國,右打,右投,二壘手,1,1,0,1,0,0,0,1.0
侯明坤0,34,三商,1995,中華民國,右打,右投,一壘手,8,22,19,3,0,3,0,1.0
侯明坤0,34,三商,1995,中華民國,右打,右投,三壘手,2,1,1,0,0,0,0,1.0
侯明坤0,34,俊國,1995,中華民國,右打,右投,三壘手,4,1,0,1,0,0,0,1.0
侯明坤0,34,俊國,1995,中華民國,右打,右投,一壘手,2,5,5,0,0,1,0,1.0
侯明坤0,35,三商,1996,中華民國,右打,右投,一壘手,18,133,124,7,2,8,0,0.985
侯明坤0,35,三商,1996,中華民國,右打,右投,二壘手,3,1,0,0,1,0,0,0.0
侯明坤0,35,三商,1996,中華民國,右打,右投,三壘手,1,1,0,1,0,0,0,1.0
侯明坤0,36,味全龍,1997,中華民國,右打,右投,三壘手,17,33,10,20,3,1,0,0.909
侯明坤0,36,味全龍,1997,中華民國,右打,右投,一壘手,8,43,42,1,0,4,0,1.0
侯明坤0,36,兄弟,1997,中華民國,右打,右投,三壘手,5,5,1,3,1,0,0,0.8
偉來0,28,三商,1998,美國,右打,右投,三壘手,6,20,3,16,1,1,0,0.95
偉來0,28,三商,1998,美國,右打,右投,一壘手,1,11,11,0,0,2,0,1.0
偉力0,31,三商,1997,委內瑞拉,右打,右投,外野手,25,33,33,0,0,0,0,1.0
偉恩0,30,三商,1998,委內瑞拉,右打,右投,一壘手,32,269,256,10,3,20,0,0.9890000000000001
傑恩0,30,時報,1997,多明尼加,右打,右投,二壘手,38,185,78,101,6,20,0,0.968
傑恩0,30,時報,1997,多明尼加,右打,右投,三壘手,23,43,11,28,4,4,0,0.907
傑恩0,30,時報,1997,多明尼加,右打,右投,游擊手,9,35,8,26,1,3,0,0.971
克拉克0,29,味全龍,1998,美國,左打,左投,一壘手,7,63,55,7,1,5,0,0.9840000000000001
克拉克0,29,味全龍,1998,美國,左打,左投,外野手,1,0,0,0,0,0,0,0.0
克里斯多福36,37,統一7-ELEVEn獅,2013,美國,右打,右投,三壘手,20,58,11,41,6,7,0,0.897
克魯茲0,27,兄弟,1992,多明尼加,右打,右投,游擊手,57,260,78,163,19,25,0,0.927
克魯茲0,27,兄弟,1992,多明尼加,右打,右投,三壘手,21,49,10,36,3,4,0,0.9390000000000001
克魯茲0,27,兄弟,1992,多明尼加,右打,右投,外野手,12,21,18,2,1,1,0,0.9520000000000001
克魯茲0,28,兄弟,1993,多明尼加,右打,右投,三壘手,63,202,39,149,14,11,0,0.9309999999999999
克魯茲0,28,兄弟,1993,多明尼加,右打,右投,游擊手,17,89,28,55,6,9,0,0.9329999999999999
克魯茲0,28,兄弟,1993,多明尼加,右打,右投,外野手,5,5,5,0,0,0,0,1.0
克魯茲0,28,兄弟,1993,多明尼加,右打,右投,一壘手,1,1,1,0,0,0,0,1.0
克魯茲0,31,興農,1996,多明尼加,右打,右投,三壘手,80,275,70,186,19,26,0,0.9309999999999999
克魯茲0,31,興農,1996,多明尼加,右打,右投,游擊手,12,42,12,24,6,3,0,0.857
克龍0,28,三商,1997,委內瑞拉,左打,右投,三壘手,88,319,74,223,22,30,0,0.9309999999999999
全浩瑋22,23,味全龍,2021,中華民國,右打,右投,捕手,9,49,41,6,2,2,0,0.9590000000000001
凃壯勳15,24,統一7-ELEVEn獅,2006,中華民國,右打,右投,捕手,11,38,36,0,2,1,0,0.9470000000000001
凃壯勳15,26,統一7-ELEVEn獅,2008,中華民國,右打,右投,捕手,30,108,101,6,1,0,0,0.991
凃壯勳15,27,統一7-ELEVEn獅,2009,中華民國,右打,右投,捕手,42,139,127,10,2,0,0,0.986
凃壯勳15,28,統一7-ELEVEn獅,2010,中華民國,右打,右投,捕手,32,110,102,6,2,0,0,0.982
凃壯勳15,29,統一7-ELEVEn獅,2011,中華民國,右打,右投,捕手,49,212,181,27,4,1,0,0.981
凃壯勳15,30,統一7-ELEVEn獅,2012,中華民國,右打,右投,捕手,29,135,120,13,2,0,0,0.985
凃壯勳15,31,統一7-ELEVEn獅,2013,中華民國,右打,右投,捕手,10,29,26,3,0,0,0,1.0
凃壯勳15,32,統一7-ELEVEn獅,2014,中華民國,右打,右投,捕手,49,210,188,20,2,1,0,0.99
凃壯勳15,33,統一7-ELEVEn獅,2015,中華民國,右打,右投,捕手,15,62,56,5,1,0,0,0.9840000000000001
凡托36,30,興農,2008,美國,右打,右投,外野手,8,16,15,0,1,0,0,0.938
凱文0,24,俊國,1993,美國,右打,右投,一壘手,2,9,9,0,0,0,0,1.0
凱文0,24,俊國,1993,美國,右打,右投,捕手,1,1,0,1,0,0,0,1.0
凱斯0,32,味全龍,1993,美國,左右開弓,右投,游擊手,89,529,160,336,33,50,0,0.938
凱斯0,33,味全龍,1994,美國,左右開弓,右投,游擊手,86,471,134,322,15,57,0,0.968
利多0,26,統一7-ELEVEn獅,1994,多明尼加,左打,右投,二壘手,14,63,25,31,7,5,0,0.889
利多0,26,統一7-ELEVEn獅,1994,多明尼加,左打,右投,游擊手,1,1,0,0,1,0,0,0.0
剛力士37,34,Lamigo,2007,美國,右打,右投,外野手,29,59,58,0,1,0,0,0.983
劉基鴻46,21,味全龍,2021,中華民國,右打,右投,三壘手,30,66,19,38,9,3,0,0.8640000000000001
劉家豪22,22,Lamigo,2006,中華民國,左打,右投,捕手,9,25,21,2,2,0,0,0.92
劉家豪22,23,Lamigo,2007,中華民國,左打,右投,捕手,16,52,47,4,1,0,0,0.981
劉家豪22,24,Lamigo,2008,中華民國,左打,右投,捕手,23,112,107,4,1,0,0,0.991
劉家豪22,25,Lamigo,2009,中華民國,左打,右投,捕手,62,245,222,21,2,2,0,0.992
劉家豪22,26,Lamigo,2010,中華民國,左打,右投,捕手,14,71,62,8,1,0,0,0.986
劉家豪22,27,Lamigo,2011,中華民國,左打,右投,捕手,3,6,5,1,0,0,0,1.0
劉家豪22,28,Lamigo,2012,中華民國,左打,右投,捕手,44,162,147,15,0,1,0,1.0
劉家豪22,29,Lamigo,2013,中華民國,左打,右投,捕手,42,94,86,7,1,1,0,0.9890000000000001
劉家豪22,30,Lamigo,2014,中華民國,左打,右投,捕手,2,5,5,0,0,0,0,1.0
劉忠岳0,29,興農,1999,中華民國,右打,右投,捕手,35,152,130,19,3,1,0,0.98
劉忠岳0,30,興農,2000,中華民國,右打,右投,捕手,13,49,38,9,2,0,0,0.9590000000000001
劉明吉0,24,時報,1997,中華民國,左打,左投,投手,14,3,1,2,0,0,0,1.0
劉明吉0,24,中信,1997,中華民國,左打,左投,投手,4,0,0,0,0,0,0,0.0
劉時豪60,23,Lamigo,2014,中華民國,左打,右投,捕手,59,184,155,25,4,3,0,0.978
劉時豪60,24,Lamigo,2015,中華民國,左打,右投,捕手,64,240,209,25,6,1,0,0.975
劉時豪60,25,Lamigo,2016,中華民國,左打,右投,捕手,56,292,266,24,2,1,0,0.993
劉時豪60,26,Lamigo,2017,中華民國,左打,右投,捕手,50,259,239,16,4,1,0,0.985
劉時豪60,27,Lamigo,2018,中華民國,左打,右投,捕手,86,465,412,47,6,2,0,0.987
劉時豪60,28,Lamigo,2019,中華民國,左打,右投,捕手,37,158,154,4,0,0,0,1.0
劉時豪60,29,樂天桃猿,2020,中華民國,左打,右投,捕手,24,123,112,10,1,1,0,0.992
劉時豪60,30,味全龍,2021,中華民國,左打,右投,捕手,3,13,12,1,0,0,0,1.0
劉炳宣0,32,俊國,1995,韓國,右打,右投,捕手,5,32,29,2,1,0,0,0.9690000000000001
劉義傳19,28,三商,1990,中華民國,右打,右投,投手,27,22,5,16,1,5,0,0.955
劉義傳19,29,三商,1991,中華民國,右打,右投,投手,23,12,4,8,0,0,0,1.0
劉義傳19,30,三商,1992,中華民國,右打,右投,投手,23,9,2,6,1,0,0,0.889
劉義傳19,31,三商,1993,中華民國,右打,右投,投手,32,15,3,11,1,0,0,0.9329999999999999
劉義傳19,32,三商,1994,中華民國,右打,右投,投手,47,29,4,23,2,0,0,0.9309999999999999
劉義傳19,33,三商,1995,中華民國,右打,右投,投手,46,39,10,27,2,0,0,0.9490000000000001
劉義傳19,34,三商,1996,中華民國,右打,右投,投手,45,24,5,18,1,0,0,0.958
劉義傳19,35,三商,1997,中華民國,右打,右投,投手,51,33,6,27,0,3,0,1.0
劉義傳19,36,三商,1998,中華民國,右打,右投,投手,50,27,4,20,3,1,0,0.889
劉義傳19,37,三商,1999,中華民國,右打,右投,投手,40,16,2,13,1,0,0,0.938
劉義傳19,38,兄弟,2000,中華民國,右打,右投,投手,42,16,1,14,1,1,0,0.938
劉義傳19,39,兄弟,2001,中華民國,右打,右投,投手,4,4,1,3,0,1,0,1.0
劉義傳19,40,兄弟,2002,中華民國,右打,右投,投手,3,2,0,2,0,0,0,1.0
劉義傳19,41,兄弟,2003,中華民國,右打,右投,投手,4,2,0,2,0,0,0,1.0
劉義傳19,42,兄弟,2004,中華民國,右打,右投,投手,2,0,0,0,0,0,0,0.0
劉義傳19,43,兄弟,2005,中華民國,右打,右投,投手,29,9,2,6,1,1,0,0.889
劉耿欣10,24,兄弟,2006,中華民國,右打,右投,外野手,56,97,93,3,1,1,0,0.99
劉耿欣10,24,兄弟,2006,中華民國,右打,右投,游擊手,22,70,19,44,7,7,0,0.9
劉耿欣10,25,兄弟,2007,中華民國,右打,右投,游擊手,70,271,105,160,6,33,0,0.978
劉耿欣10,25,兄弟,2007,中華民國,右打,右投,外野手,16,19,16,1,2,0,0,0.895
劉耿欣10,26,兄弟,2008,中華民國,右打,右投,二壘手,27,88,41,46,1,4,0,0.9890000000000001
劉耿欣10,26,兄弟,2008,中華民國,右打,右投,游擊手,7,20,9,10,1,5,0,0.95
劉耿欣10,26,兄弟,2008,中華民國,右打,右投,外野手,2,0,0,0,0,0,0,0.0
劉耿欣10,26,兄弟,2008,中華民國,右打,右投,三壘手,1,0,0,0,0,0,0,0.0
劉耿欣10,27,兄弟,2009,中華民國,右打,右投,外野手,67,117,110,6,1,2,0,0.991
劉耿欣10,27,兄弟,2009,中華民國,右打,右投,二壘手,38,155,56,94,5,26,0,0.968
劉耿欣10,27,兄弟,2009,中華民國,右打,右投,游擊手,23,83,25,49,9,13,0,0.892
劉育辰92,24,統一7-ELEVEn獅,2009,中華民國,右打,右投,三壘手,35,56,15,36,5,4,0,0.9109999999999999
